DLL Name,Team Name,POC (email)
UltimateSoftware.AcceptIdeas.Tests.dll,*UltimateSoftware.AcceptIdeas,
UltimateSoftware.CacheSets.Test.dll,*UltimateSoftware.CacheSets,
UltimateSoftware.ClientCaches.Test.dll,*UltimateSoftware.ClientCaches,
UltimateSoftware.Common.Test.dll,*UltimateSoftware.Common,
UltimateSoftware.Connections.Test.dll,*UltimateSoftware.Connections,
UltimateSoftware.DataAccess.Wcf.Tests.dll,*UltimateSoftware.DataAccess.Wcf,
UltimateSoftware.DataAccessLayer.Tests.dll,*UltimateSoftware.DataAccessLayer,
UltimateSoftware.DataServices.BI.SuperSiteApplication.UnitTests.dll,*DataServices.BI,
UltimateSoftware.DataServices.Bi.SuperSiteService.Tests.dll,*DataServices.Bi,
UltimateSoftware.DataServices.BI.WcfTypes.UnitTests.dll,*DataServices.BI,
UltimateSoftware.DataServices.iPhone.Tests.dll,*DataServices.iPhone,
UltimateSoftware.EntityManager.Test.dll,*EntityManager,
UltimateSoftware.Foundation.DataServices.DataAccess.Tests.dll,*Foundation.DataServices,
UltimateSoftware.Foundation.Services.Acceptance.Tests.dll,*Foundation.Service,
UltimateSoftware.Foundation.Services.Core.UnitTests.dll,*Foundation.Services,
UltimateSoftware.Foundation.Services.UnifiedApi.IntegrationTests.dll,*Foundation.Services,
UltimateSoftware.Foundation.Services.UserProfile.UnitTests.dll,*Foundation.Services,
UltimateSoftware.HRXML.MbTests.dll,*HRXML,
UltimateSoftware.Integration.ApplicationHost.Tests.dll,*Integration.ApplicationHost,
UltimateSoftware.Integration.Common.Tests.dll,*Integration.Common,
UltimateSoftware.Integration.Connections.Tests.dll,*Integration.Connections,
UltimateSoftware.Integration.MbTests.dll,*Integration.MbTests,
UltimateSoftware.Integration.MetaPlatform.Tests.dll,*Integration.MetaPlatform,
UltimateSoftware.Integration.Onboarding.OnboardingService.UnitTests.dll,*Integration.Onboarding,
UltimateSoftware.Integration.Onboarding.RSIntegrationClient.Tests.dll,*Integration.Onboarding,
UltimateSoftware.Integration.Onboarding.Transform.UnitTests.dll,*Integration.Onboarding,
UltimateSoftware.Integration.Onboarding.UnitTests.dll,*Integration.Onboarding,
UltimateSoftware.Integration.Talisman.MbTests.dll,*Integration.Talisman,
UltimateSoftware.Messaging.ConfigStore.Tests.dll,*Messaging.ConfigStore,
UltimateSoftware.Messaging.ObjectRepository.MbTests.dll,*Messaging.ObjectRepository,
Ultimatesoftware.Messaging.Ues.SuperSite.WcfTypes.UnitTests.dll,*Messaging.Ues,
UltimateSoftware.Messaging.Ues.Ultipro.Tests.dll,*Messaging.Ues,
UltimateSoftware.Messaging.Ues.UltiproApplication.Tests.dll,*Messaging.Ues,
UltimateSoftware.Messaging.Ues.WcfRouterApplication.Tests.dll,*Messaging.Ues,
UltimateSoftware.Messaging.Ues.WcfServices.Tests.dll,*Messaging.Ues,
UltimateSoftware.Messaging.UesUltiproServices.Tests.dll,*Messaging.UesUltiproServices,
UltimateSoftware.Messaging.UltiProServices.WcfTypes.UnitTests.dll,*Messaging.UltiProServices,
UltimateSoftware.Messaging.Zipper.Tests.dll,*Messaging.Zipper,
UltimateSoftware.MetaPlatform.IntegrationTest.dll,*MetaPlatform.IntegrationTest,
UltimateSoftware.MetaPlatform.Linq.IntegrationTests.dll,*MetaPlatform.Linq,
UltimateSoftware.MetaPlatform.OData.IntegrationTests.dll,*MetaPlatform.OData,
UltimateSoftware.MetaPlatform.Services.IntegrationTests.dll,*MetaPlatform.Services,
UltimateSoftware.ObjectModel.Onboarding.UnitTests.dll,*ObjectModel.Onboarding,
UltimateSoftware.ObjectModel.RequestProcessor.Test.dll,*ObjectModel.RequestProcessor,
UltimateSoftware.Onboarding.Settings.UnitTests.dll,*Onboarding.Settings,
UltimateSoftware.Pending.Test.dll,*UltimateSoftware.Pending,
UltimateSoftware.Queries.MbTests.dll,*UltimateSoftware.Queries,
UltimateSoftware.RulesEngine.Test.dll,*UltimateSoftware.RulesEngine,
UltimateSoftware.ScheduledJobs.Test.dll,*UltimateSoftware.ScheduledJobs,
UltimateSoftware.ServiceClient.Tests.dll,*UltimateSoftware.ServiceClient,
UltimateSoftware.Services.Test.dll,*UltimateSoftware.Services,
UltimateSoftware.SiteInfo.Test.dll,*UltimateSoftware.SiteInfo,
UltimateSoftware.SqlClr.SuperSite.UnitTests.dll,*SqlClr.SuperSite,
UltimateSoftware.SSO.Partners.UnitTests.dll,*SSO.Partners,
UltimateSoftware.SSO.Test.dll,*SSO,
UltimateSoftware.Studio.Api.Tests.dll,*Studio.Api,
UltimateSoftware.Ues.PartnerIntegrationApplication.Tests.dll,*Ues.PartnerIntegrationApplication,
UltimateSoftware.Ues.PaymentServices.TaxFilingApplication.Tests.dll,*Ues.PaymentServices,
UltimateSoftware.UTASSOSync.UnitTests.dll,*UTASSOSync,
UltimateSoftware.WcfTypes.Base.Tests.dll,*WcfTypes.Base,
UltimateSoftware.WcfTypes.ConfigurationStore.UnitTests.dll,*WcfTypes.ConfigurationStore,
UltimateSoftware.WebServices.Tests.dll,*WebServices,
UltimateSoftware.Workflow.Test.dll,*Workflow.Test,
UltimateSoftware.Xml.Serialization.Tests.dll,*Xml.Serialization,
US.INT.BackgroundChecking.Sterling.Tests.dll,*US.INT.BackgroundChecking,
Echo.Automation.UPM.dll,UPM,
Echo.Automation.Compliance.TaxCare.dll,TaxCare,
Echo.Automation.GlobalBenefits.dll,GlobalBenenfits,
Echo.Automation.GlobalBenefits.CompensationManagement.dll,CompensationManagement,
